,film_id,avg_rental_cost,avg_hours_rented,avg_hours_rental_allowed,category_id,language_id,hours_length,avg_replacement_cost,rating,description,special_features,actors_in_film,actor_list,total_actor_fame,total_actor_influence,num_rent
30,32,5.156667,101.5,144.0,13,1,1.9833,11.99,R,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,"set([u'Trailers', u'Commentaries'])",5,"79,158,162,168,183",138.0,524.0,6
31,34,1.759231,110.5385,144.0,11,1,1.0333,29.99,NC-17,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,"set([u'Deleted Scenes', u'Commentaries'])",12,"12,26,27,40,57,72,75,102,112,126,157,178",350.0,1350.0,13
32,35,4.781667,132.125,96.0,11,1,2.45,24.99,PG-13,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,"set([u'Trailers', u'Deleted Scenes', u'Behind the Scenes'])",8,"7,35,95,113,118,135,139,184",210.0,832.0,24
33,37,4.99,107.7619,72.0,4,1,2.0167,28.99,PG,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,"set([u'Trailers', u'Deleted Scenes'])",4,"12,64,112,130",113.0,454.0,21
34,39,2.180476,124.0,120.0,14,1,1.65,10.99,G,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,set([u'Trailers']),7,"65,84,104,118,145,177,191",206.0,777.0,21
35,40,2.615,117.875,96.0,6,1,2.4667,22.99,R,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,"set([u'Trailers', u'Commentaries'])",7,"3,77,79,96,104,181,183",186.0,704.0,16
36,42,4.365,129.0625,120.0,15,1,2.8333,10.99,NC-17,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,"set([u'Trailers', u'Behind the Scenes'])",7,"3,23,43,62,105,117,194",203.0,768.0,16
37,43,3.656667,112.6667,144.0,8,1,2.8333,15.99,G,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,set([u'Behind the Scenes']),9,"28,34,123,126,130,141,160,161,189",242.0,929.0,24
38,44,6.365,137.4375,120.0,14,1,1.8833,21.99,PG-13,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,"set([u'Trailers', u'Behind the Scenes'])",4,"18,74,106,193",108.0,394.0,16
39,45,6.115,105.5417,120.0,13,1,1.3833,14.99,PG-13,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,"set([u'Trailers', u'Behind the Scenes'])",4,"13,68,73,163",112.0,411.0,24
40,46,7.717273,123.9091,72.0,10,1,1.8,13.99,G,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,"set([u'Trailers', u'Deleted Scenes', u'Commentaries', u'Behind the Scenes'])",3,"59,65,84",92.0,341.0,11
41,47,5.74,114.125,120.0,9,1,2.55,23.99,NC-17,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,set([u'Commentaries']),8,"2,8,89,95,127,143,153,158",219.0,844.0,8
42,48,8.358421,148.3158,72.0,3,1,1.9667,24.99,PG-13,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,"set([u'Trailers', u'Behind the Scenes'])",7,"58,87,91,109,116,127,131",177.0,698.0,19
43,49,3.656667,108.6667,144.0,14,1,2.7,22.99,R,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,"set([u'Trailers', u'Behind the Scenes', u'Commentaries'])",8,"83,115,118,119,130,171,173,200",220.0,882.0,21
44,50,4.99,110.2,72.0,8,1,3.0333,20.99,G,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,"set([u'Behind the Scenes', u'Commentaries'])",1,70,23.0,98.0,16
45,51,4.294348,133.8261,120.0,12,1,1.25,10.99,NC-17,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,set([u'Deleted Scenes']),6,"46,53,73,133,187,188",173.0,648.0,23
46,52,1.365,108.5,144.0,9,1,2.8833,29.99,G,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,"set([u'Deleted Scenes', u'Commentaries'])",7,"35,71,83,95,115,138,177",176.0,711.0,8
47,53,3.275714,109.0,120.0,8,1,1.45,25.99,NC-17,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,"set([u'Deleted Scenes', u'Behind the Scenes', u'Commentaries'])",7,"6,30,47,70,102,149,156",180.0,727.0,7
48,54,1.944545,111.0455,120.0,12,1,1.8833,15.99,R,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,"set([u'Trailers', u'Deleted Scenes', u'Commentaries'])",6,"5,20,59,62,96,190",165.0,620.0,22
49,55,3.87,137.8,144.0,14,1,1.0833,27.99,G,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,set([u'Behind the Scenes']),5,"66,118,166,173,177",132.0,517.0,25
50,56,3.712222,120.5556,144.0,1,1,2.15,15.99,G,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,"set([u'Trailers', u'Commentaries'])",8,"4,22,33,43,129,136,137,168",218.0,891.0,18
51,57,4.323333,111.25,96.0,16,1,1.5,18.99,PG-13,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,set([u'Deleted Scenes']),6,"67,120,130,139,148,172",149.0,605.0,21
52,58,3.813529,124.3529,144.0,6,1,2.0333,16.99,G,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,"set([u'Deleted Scenes', u'Behind the Scenes'])",7,"28,44,53,83,96,126,161",202.0,762.0,17
53,59,4.899091,131.3636,96.0,3,1,2.6667,20.99,R,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,set([u'Deleted Scenes']),3,"81,104,152",90.0,316.0,22
54,60,6.99,107.0,72.0,4,1,1.4833,22.99,R,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,"set([u'Deleted Scenes', u'Behind the Scenes'])",5,"6,41,76,94,101",146.0,536.0,11
55,61,6.035455,114.9545,120.0,7,1,2.9167,28.99,G,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,"set([u'Trailers', u'Commentaries'])",5,"111,136,138,166,174",135.0,552.0,22
56,62,4.156667,133.1667,120.0,6,1,1.7667,23.99,NC-17,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,"set([u'Trailers', u'Deleted Scenes', u'Commentaries'])",5,"4,107,110,125,190",143.0,534.0,6
57,63,1.297692,99.4615,144.0,8,1,1.2167,21.99,PG,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,"set([u'Trailers', u'Deleted Scenes', u'Behind the Scenes'])",7,"20,51,56,120,150,167,197",203.0,773.0,13
58,64,1.535455,113.9091,144.0,7,1,2.5167,26.99,PG-13,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,"set([u'Behind the Scenes', u'Commentaries'])",6,"30,119,124,153,158,196",162.0,631.0,11
59,65,7.759231,127.4615,72.0,11,1,1.6667,20.99,PG,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,"set([u'Trailers', u'Deleted Scenes', u'Behind the Scenes'])",5,"32,45,95,135,179",135.0,538.0,13
60,66,1.69,106.7,144.0,3,1,0.8833,27.99,NC-17,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,"set([u'Deleted Scenes', u'Commentaries'])",7,"45,76,96,98,101,131,158",206.0,781.0,10
61,67,3.751429,104.45,120.0,1,1,1.2833,24.99,PG-13,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,set([u'Deleted Scenes']),10,"7,47,67,123,141,144,155,175,194,199",267.0,1059.0,21
62,68,6.123333,117.9333,120.0,3,1,2.0333,26.99,NC-17,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,"set([u'Deleted Scenes', u'Behind the Scenes', u'Commentaries'])",4,"58,76,114,166",110.0,417.0,15
63,69,5.51381,125.5714,72.0,14,1,1.4167,21.99,R,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,set([u'Trailers']),4,"30,41,80,192",105.0,416.0,21
64,70,5.813529,143.4118,168.0,2,1,2.3667,26.99,NC-17,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,"set([u'Deleted Scenes', u'Commentaries'])",2,"6,104",51.0,198.0,17
65,71,7.913077,129.4615,72.0,8,1,1.6667,25.99,PG-13,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,"set([u'Deleted Scenes', u'Behind the Scenes', u'Commentaries'])",3,"39,93,183",72.0,282.0,13
66,72,3.568947,116.6316,144.0,6,1,1.55,12.99,PG,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,"set([u'Trailers', u'Commentaries'])",6,"59,85,98,149,165,167",168.0,654.0,19
67,73,4.541724,136.4828,120.0,14,1,2.5,22.99,PG-13,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,"set([u'Trailers', u'Commentaries'])",5,"39,63,77,176,187",133.0,514.0,29
68,74,6.808182,132.2727,96.0,12,1,2.7,18.99,PG,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,"set([u'Trailers', u'Deleted Scenes', u'Commentaries'])",6,"9,28,95,139,173,181",186.0,676.0,11
69,75,5.808182,133.0909,144.0,16,1,2.7167,14.99,G,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,"set([u'Behind the Scenes', u'Commentaries'])",2,"55,150",54.0,211.0,11
70,76,2.656667,126.3333,96.0,12,1,1.7167,23.99,NC-17,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,"set([u'Deleted Scenes', u'Behind the Scenes', u'Commentaries'])",4,"88,94,122,187",111.0,400.0,9
71,77,6.212222,112.0,120.0,13,1,1.0167,15.99,G,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,"set([u'Trailers', u'Behind the Scenes'])",4,"30,73,109,140",99.0,403.0,18
72,78,3.397407,101.4074,168.0,2,1,1.4167,12.99,PG,A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,"set([u'Trailers', u'Deleted Scenes'])",5,"23,77,111,169,181",162.0,585.0,27
73,79,1.581364,97.381,120.0,7,1,1.9,10.99,PG-13,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,"set([u'Trailers', u'Behind the Scenes'])",5,"4,29,127,143,144",150.0,554.0,22
74,80,3.406667,147.0,168.0,8,1,2.4667,21.99,G,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,set([u'Trailers']),4,"16,173,193,200",97.0,387.0,12
75,81,5.49,121.7857,144.0,14,1,1.7167,29.99,PG-13,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,"set([u'Trailers', u'Behind the Scenes'])",3,"36,98,132",78.0,301.0,14
76,82,3.89,135.6,72.0,8,1,1.1833,13.99,G,A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse,"set([u'Trailers', u'Behind the Scenes', u'Commentaries'])",4,"128,132,159,189",102.0,384.0,10
77,83,4.037619,109.9524,120.0,8,1,0.8333,18.99,G,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,"set([u'Trailers', u'Deleted Scenes', u'Behind the Scenes'])",4,"24,106,122,181",123.0,433.0,21
78,84,5.19,110.2,168.0,16,1,1.7,13.99,PG,A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan,"set([u'Trailers', u'Commentaries'])",8,"18,32,44,54,99,113,191,199",198.0,813.0,15
79,85,2.0525,102.4375,96.0,6,1,1.05,29.99,G,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,set([u'Deleted Scenes']),9,"5,27,60,85,101,126,147,162,179",269.0,1016.0,16
80,86,5.644828,113.4643,144.0,12,1,2.0167,11.99,R,A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico,"set([u'Behind the Scenes', u'Commentaries'])",6,"25,41,78,166,177,194",147.0,610.0,29
81,88,4.99,99.0,168.0,16,1,2.9833,17.99,PG,A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria,"set([u'Trailers', u'Deleted Scenes', u'Commentaries'])",9,"21,31,44,59,64,69,116,135,194",219.0,887.0,12
82,89,1.262727,134.6364,168.0,2,1,1.05,22.99,G,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,"set([u'Deleted Scenes', u'Behind the Scenes', u'Commentaries'])",7,"15,22,43,81,129,161,176",207.0,796.0,22
83,90,3.545556,135.1765,72.0,13,1,1.05,11.99,R,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,set([u'Trailers']),8,"26,34,92,114,116,139,144,161",241.0,883.0,18
84,91,2.115,127.1304,120.0,4,1,1.6333,17.99,PG,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,set([u'Behind the Scenes']),2,"12,15",59.0,221.0,24
85,92,5.171818,74.5455,168.0,11,1,1.2,19.99,NC-17,A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California,"set([u'Trailers', u'Deleted Scenes'])",5,"12,52,70,85,168",142.0,534.0,11
86,93,6.24,107.9167,96.0,13,1,2.0167,27.99,PG,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,set([u'Trailers']),2,"26,169",62.0,227.0,12
87,94,3.39,96.2,168.0,8,1,2.9333,14.99,PG-13,A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin,"set([u'Trailers', u'Deleted Scenes'])",4,"44,92,131,150",123.0,438.0,5
88,95,6.460588,130.8235,120.0,13,1,2.05,18.99,G,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,"set([u'Trailers', u'Deleted Scenes', u'Commentaries'])",5,"76,149,165,185,186",134.0,517.0,17
89,96,3.99,101.0,96.0,13,1,2.8167,21.99,PG-13,A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,"set([u'Trailers', u'Commentaries'])",6,"7,17,28,52,126,137",169.0,652.0,13
90,97,1.147895,107.8947,168.0,1,1,0.9333,24.99,G,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,"set([u'Trailers', u'Behind the Scenes', u'Commentaries'])",1,65,34.0,117.0,19
91,98,7.143846,126.5385,96.0,7,1,1.2167,12.99,PG-13,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,set([u'Trailers']),4,"111,125,187,194",119.0,441.0,13
92,99,3.59,138.5,168.0,5,1,2.2667,14.99,PG,A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,set([u'Trailers']),2,"48,144",61.0,211.0,20
93,100,5.561429,130.9524,168.0,9,1,2.6833,21.99,R,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,set([u'Commentaries']),5,"41,62,90,125,172",147.0,539.0,21
94,101,3.913077,136.6154,72.0,6,1,1.2167,26.99,R,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,set([u'Behind the Scenes']),5,"16,48,57,62,129",142.0,528.0,26
95,102,5.99,106.0,96.0,15,1,1.0,20.99,R,A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,"set([u'Trailers', u'Deleted Scenes', u'Commentaries', u'Behind the Scenes'])",3,"158,170,188",89.0,360.0,6
96,103,5.313529,118.2059,168.0,16,1,2.2167,27.99,PG,A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,"set([u'Deleted Scenes', u'Commentaries'])",6,"26,32,51,89,92,193",162.0,614.0,34
97,104,5.080909,133.9091,96.0,9,1,1.9833,17.99,G,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,set([u'Commentaries']),2,"82,92",65.0,233.0,11
98,105,1.365,113.1333,144.0,1,1,2.0833,21.99,NC-17,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,set([u'Deleted Scenes']),8,"2,23,29,43,116,123,144,150",242.0,896.0,16
99,106,4.704286,124.5714,96.0,10,1,1.0167,14.99,G,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,set([u'Trailers']),4,"1,65,124,173",106.0,403.0,7
100,107,5.19,132.0,96.0,7,1,1.05,13.99,G,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,set([u'Behind the Scenes']),8,"12,28,40,98,130,139,142,167",235.0,911.0,5
101,109,4.123333,141.8333,72.0,13,1,1.4833,17.99,G,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,set([u'Behind the Scenes']),7,"44,53,145,178,179,193,198",203.0,758.0,30
102,110,2.723333,128.1333,96.0,3,1,0.8833,25.99,NC-17,A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,"set([u'Deleted Scenes', u'Commentaries'])",4,"13,29,83,187",130.0,462.0,15
103,111,3.24,110.8125,72.0,1,1,0.8667,17.99,NC-17,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,"set([u'Deleted Scenes', u'Commentaries'])",7,"3,22,38,50,69,154,188",184.0,765.0,16
104,112,6.751905,121.2381,96.0,9,1,2.0,22.99,NC-17,A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,"set([u'Trailers', u'Behind the Scenes', u'Commentaries'])",8,"6,24,32,33,51,107,130,140",217.0,860.0,21
105,113,6.99,130.4167,96.0,15,1,1.25,19.99,NC-17,A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India,"set([u'Trailers', u'Deleted Scenes', u'Commentaries'])",2,"124,183",45.0,169.0,12
106,114,3.767778,132.6538,72.0,14,1,1.0167,26.99,NC-17,A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention,"set([u'Trailers', u'Deleted Scenes', u'Commentaries', u'Behind the Scenes'])",2,"57,125",61.0,223.0,27
107,115,4.779474,147.2632,120.0,1,1,2.7833,27.99,R,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,set([u'Behind the Scenes']),3,"8,45,168",83.0,312.0,19
108,116,5.378333,144.8824,96.0,4,1,1.1667,10.99,R,A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,"set([u'Deleted Scenes', u'Behind the Scenes'])",4,"23,105,113,200",118.0,445.0,18
109,117,5.598696,115.0,144.0,10,1,2.25,15.99,NC-17,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,"set([u'Trailers', u'Deleted Scenes'])",7,"23,45,65,74,89,146,192",217.0,767.0,23
110,118,1.463684,116.3333,168.0,2,1,1.4167,26.99,R,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,"set([u'Trailers', u'Deleted Scenes'])",6,"11,37,80,100,103,149",173.0,662.0,19
111,119,1.615,108.1667,144.0,5,1,2.9333,22.99,G,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,"set([u'Trailers', u'Deleted Scenes', u'Commentaries'])",7,"17,34,37,58,127,128,193",210.0,778.0,24
